Teff	logg	GALEX_GALEX.FUV	GALEX_GALEX.NUV	SLOAN_SDSS.u	SLOAN_SDSS.g	SLOAN_SDSS.r	SLOAN_SDSS.i	SLOAN_SDSS.z	PAN-STARRS_PS1.g	PAN-STARRS_PS1.r	PAN-STARRS_PS1.i	PAN-STARRS_PS1.z	PAN-STARRS_PS1.y	Generic_Johnson.U	Generic_Johnson.B	Generic_Johnson.V	Generic_Johnson.R	Generic_Johnson.I	2MASS_2MASS.J	2MASS_2MASS.H	2MASS_2MASS.Ks	IUE_IUE.1250-1300	IUE_IUE.1450-1500	IUE_IUE.1675-1725	IUE_IUE.2150-2200	IUE_IUE.2395-2445	IUE_IUE.2900-2950	IUE_IUE.2900-3000	INT_IPHAS.gI	INT_IPHAS.gR	INT_IPHAS.Ha	INT_WFC.RGO_u	INT_WFC.Gunn_g	INT_WFC.HeII	
2700.0	3.5	1.8427746928485343e-22	6.273853660194933e-13	4.858209053281434e-09	5.570987861221457e-08	1.9162873766678137e-07	1.316250468885858e-06	4.1562710283874785e-06	6.747026395512021e-08	1.9781122248217386e-07	1.4015533529252918e-06	3.548030345039744e-06	6.1136561572766356e-06	4.685753962763974e-09	3.8393623088947176e-08	1.208424824673396e-07	7.532720183172118e-07	3.840163077721334e-06	1.1793147836960957e-05	1.3036435511022157e-05	1.159583824625395e-05	1.2323108984758657e-28	1.0942457124605396e-24	6.499209277687392e-22	2.4093668669743676e-16	4.310893845842304e-14	6.754671506063505e-11	6.270761476100597e-11	1.76065174270844e-06	2.0093956869690066e-07	3.3708219230222687e-07	5.32913434795122e-09	6.579158243400928e-08	4.602148955217882e-08
2700.0	4.0	1.8370512812301967e-22	3.3650050112288543e-13	3.2893657846681586e-09	5.326188675864366e-08	1.9212716443226815e-07	1.3756161492959913e-06	4.340798497221872e-06	6.559430918828433e-08	1.9735282787991735e-07	1.4661455783544037e-06	3.718126906030732e-06	6.353743127412839e-06	3.2203583577860097e-09	3.493733031555859e-08	1.1973023784598725e-07	7.806257045501134e-07	4.0040901664628735e-06	1.208038977174531e-05	1.3497136847374415e-05	1.1826328204660374e-05	1.1828727957214143e-28	1.0732461948294688e-24	6.335631764672745e-22	1.8397698736503244e-16	3.020452085886423e-14	4.071199503959739e-11	3.629886211869769e-11	1.8464678759969286e-06	2.0028907881468822e-07	3.4621919583789884e-07	3.6191884852097647e-09	6.414168770199063e-08	4.7826507226529373e-08
2700.0	4.5	9.943981503371582e-23	1.2206725906312813e-13	1.7685536856763703e-09	4.500932586045834e-08	1.725673854586954e-07	1.3555900249969726e-06	4.416629634619773e-06	5.653624786656387e-08	1.7645060161401456e-07	1.4487692679885396e-06	3.783574505382311e-06	6.4832469542413696e-06	1.770447567155449e-09	2.7926917157655042e-08	1.0479544311336485e-07	7.590900412223367e-07	4.064677339890951e-06	1.2303930105305894e-05	1.3904606278818615e-05	1.1920048238466169e-05	3.83248761496326e-29	4.363676201636066e-25	3.3473972495809027e-22	9.306796663210152e-17	1.3233593292815387e-14	1.6262958247932663e-11	1.4179436214051609e-11	1.845257612377868e-06	1.7875656819230315e-07	3.27220781329987e-07	1.9537846534524737e-09	5.541680715207622e-08	4.466769118419752e-08
2700.0	5.0	1.2405198280244467e-22	6.660490937992154e-14	9.229799833133577e-10	3.81800180786204e-08	1.6743927023252393e-07	1.3764325854646406e-06	4.558342690347725e-06	4.9284875729735485e-08	1.7015707759547236e-07	1.473760028237656e-06	3.922520720736104e-06	6.647102831610597e-06	9.394352065192244e-10	2.247956824448202e-08	9.532963157014412e-08	7.646846041277641e-07	4.176996119441871e-06	1.2550967750602084e-05	1.4387494349570846e-05	1.1977412908486529e-05	4.1051804132360443e-29	4.889337467852266e-25	4.2060310885690514e-22	6.453516417842453e-17	8.636860214617751e-15	7.1459679429880914e-12	6.267409536340088e-12	1.8912885894831764e-06	1.718613431901334e-07	3.367381373779229e-07	1.0257813926733521e-09	4.828999798045035e-08	4.141912073021063e-08
2700.0	5.5	1.0220503743695672e-22	2.9325810835271394e-14	3.8836426226146753e-10	2.7685550170233568e-08	1.409464070102737e-07	1.2895177336217897e-06	4.5222332100095855e-06	3.667250009611701e-08	1.421704692464469e-07	1.3868837776987451e-06	3.902726963743685e-06	6.59015910824736e-06	4.012613904910924e-10	1.5536384629256807e-08	7.318257023850951e-08	7.071500143010608e-07	4.116270424889112e-06	1.2570985209203309e-05	1.4595391514415153e-05	1.1662528859539367e-05	2.7345131534618944e-29	3.105909748848202e-25	3.2798434943640604e-22	3.0198113351465446e-17	4.290312231662907e-15	2.361493030666951e-12	2.1021336453929208e-12	1.8182872643281147e-06	1.429970936809228e-07	3.1390233132250765e-07	4.357514057032595e-10	3.5884711268934765e-08	3.2208951983839517e-08
2700.0	6.0	1.3463677924933543e-22	1.7903405548239753e-14	1.91286302563656e-10	2.2162519038237086e-08	1.3078892761161562e-07	1.297614723197489e-06	4.729948885515067e-06	2.979537268731244e-08	1.3030945867536698e-07	1.4002907008914407e-06	4.125569543299106e-06	6.780970410230025e-06	1.9906520312155137e-10	1.2029886965586805e-08	6.033402356853944e-08	7.051732131775369e-07	4.260612681741254e-06	1.2842801107157196e-05	1.4999399632009483e-05	1.1403439446595187e-05	4.033276512297916e-29	4.0753411770599954e-25	3.9313138471551094e-22	1.8632243334779337e-17	2.689700577370465e-15	1.0270327438347245e-12	9.275400728167652e-13	1.8777330936696656e-06	1.3032721639445677e-07	3.3238276378443756e-07	2.1723928642399588e-10	2.914042767848185e-08	2.712110783887923e-08
2800.0	0.0	4.4880437656265616e-26	4.811595384624372e-14	1.4599415830338665e-09	7.752540273903053e-09	4.065109638082261e-08	3.2979377439005843e-07	1.5885493902983408e-06	9.54959568251144e-09	4.2379829314744805e-08	3.5866270365946525e-07	1.1911658994332982e-06	2.7729991544736173e-06	1.348697959176417e-09	6.0617253644332e-09	2.1483296122239698e-08	1.889086919536934e-07	1.5476473291169836e-06	9.979067893938197e-06	1.625868697576009e-05	1.4272350318944602e-05	5.324525114175086e-33	2.695870761249075e-28	1.119635361219685e-25	4.38794953128536e-19	5.94836272070365e-16	5.445378201240454e-12	6.196758048245105e-12	4.685078165750656e-07	4.3640103133593165e-08	7.68615896500091e-08	1.5982030092034463e-09	8.943809026956492e-09	4.124515177697945e-09
2800.0	0.5	4.242510715201872e-25	1.1580470823140245e-13	2.8463242158971138e-09	1.380031697219027e-08	6.256116944954661e-08	4.79267701792515e-07	2.161361122394955e-06	1.6533609655579618e-08	6.514282386326531e-08	5.19231625780474e-07	1.6601224405213664e-06	3.681756815275459e-06	2.6310729525161277e-09	1.1273084654599074e-08	3.4435488739082265e-08	2.758128550497093e-07	2.078887883478956e-06	1.1682180920471863e-05	1.8591979133172353e-05	1.532961883039468e-05	8.004864582629162e-32	2.6396956300350607e-27	1.1179657640271523e-24	2.5296699546653302e-18	2.0109815266344132e-15	1.2246099216769098e-11	1.3336159017722981e-11	6.760223332267976e-07	6.690052979954932e-08	1.1477968980033967e-07	3.112408956934197e-09	1.5490824889237267e-08	7.521765579106709e-09
2800.0	1.0	3.01091534281382e-24	2.289943906820545e-13	4.603928159753513e-09	2.240030885916162e-08	9.409285437389098e-08	6.817595280949697e-07	2.8043330599402393e-06	2.661918134689955e-08	9.751465994756164e-08	7.36123032672993e-07	2.2127560063876392e-06	4.623114910143425e-06	4.2670028497656485e-09	1.859761239483874e-08	5.337334663435177e-08	3.923737915755324e-07	2.664141465742419e-06	1.2890783352455661e-05	1.9642598639047048e-05	1.5618802625081298e-05	1.3276745581548865e-30	2.8513963845909093e-26	8.27047436409424e-24	8.178781977090504e-18	4.582269204345602e-15	2.3357234456310188e-11	2.5579954831744995e-11	9.471264142824627e-07	9.999395112540829e-08	1.6824445688671035e-07	5.0378476118365265e-09	2.5032464204605117e-08	1.2741790262891052e-08
2800.0	1.5	1.436992332776728e-23	4.2287050211665944e-13	6.857134215394696e-09	3.480461335314363e-08	1.359832816038814e-07	9.434079457608004e-07	3.539462328544821e-06	4.124093067041801e-08	1.4026441793709952e-07	1.0151581853154578e-06	2.8676860703578208e-06	5.633071595688576e-06	6.378956769973151e-09	2.8966985742612223e-08	7.977952253655972e-08	5.423962945827517e-07	3.326971049452873e-06	1.387272869596327e-05	2.0155760710260825e-05	1.5631424627315992e-05	1.166590076320423e-29	1.8248914810861222e-25	3.9813385776692036e-23	2.0905717364320862e-17	9.989658137259704e-15	4.2689778845820634e-11	4.663145582563409e-11	1.29120055592634e-06	1.4365642211791942e-07	2.3807430329197094e-07	7.503627515983607e-09	3.9017162455059024e-08	2.0867083672352152e-08
2800.0	2.0	2.4549016807691837e-23	7.105779798815567e-13	8.703696864830629e-09	4.58737517943566e-08	1.5868583918317497e-07	1.0932574251053915e-06	3.9293341675367146e-06	5.370385350745225e-08	1.6394729068338255e-07	1.1727608434557179e-06	3.2370697902781425e-06	6.124021801162325e-06	8.145767738870113e-09	3.779440740694161e-08	9.724482087286184e-08	6.292318813476255e-07	3.6734751680545356e-06	1.3965158866805837e-05	1.8034254630322775e-05	1.4012433325663316e-05	1.4300233433337224e-29	2.104809719409141e-25	8.39663056628915e-23	5.441537144144616e-17	2.1257166681211218e-14	7.009683360521352e-11	7.214939837756458e-11	1.4931769628775128e-06	1.675114092813241e-07	2.7590459461427244e-07	9.502375260457236e-09	5.113861046227288e-08	2.9086220987004302e-08
2800.0	2.5	3.9314863154132187e-22	1.8551631455689826e-12	1.1602461524751109e-08	8.040828730045332e-08	2.5762822639927225e-07	1.5970303826297156e-06	4.86657163825823e-06	9.472985705745647e-08	2.6613532431874306e-07	1.697945050588954e-06	4.1587750101272604e-06	7.1251220161378445e-06	1.0936771616025601e-08	6.139489411685786e-08	1.6531495370861737e-07	9.262129665625838e-07	4.509066968910594e-06	1.3951144841865179e-05	1.625242090972845e-05	1.3573142187773647e-05	4.253810299462209e-28	3.56258034666465e-24	1.4675545649964223e-21	4.829207407368294e-16	9.78175067450141e-14	1.494852159376586e-10	1.5051537297906176e-10	2.103163405292741e-06	2.707322258515927e-07	4.320608575400521e-07	1.2638870293517357e-08	9.166325351095253e-08	5.870962020232621e-08
